time,voltage,current,shunt_voltage,temperature,temperature old
2023-10-24 20:57:05,0.252432218,0.0358344952481587,1.68884751,312.1038123262291,312.1038123262291
2023-10-24 20:57:07,0.252785763,0.0358295732360685,1.68861554,312.52432752118006,312.524282061865
2023-10-24 20:57:09,0.253037045,0.0358242478638463,1.68836456,312.8372969634034,312.8372060560793
2023-10-24 20:57:11,0.253274753,0.0358166118173272,1.68800468,313.1533791420408,313.15324279801087
2023-10-24 20:57:13,0.253478373,0.0358153251388208,1.68794404,313.38395800906414,313.3837762396287
2023-10-24 20:57:14,0.253627091,0.0358113248502517,1.68775551,313.57586692129763,313.57566244339614
2023-10-24 20:57:16,0.253783049,0.0358074586614214,1.6875733,313.774668562158,313.7744186757963
2023-10-24 20:57:18,0.253913366,0.0358040535465349,1.68741282,313.94217492587757,313.9418796423489
2023-10-24 20:57:20,0.254033426,0.0358001298560761,1.6872279,314.1025872506445,314.10224658123946
2023-10-24 20:57:22,0.25415047,0.0357976976008453,1.68711327,314.2482854571889,314.2478994131952
2023-10-24 20:57:24,0.254267514,0.0357960463917197,1.68703545,314.3879908921934,314.3875594848959
2023-10-24 20:57:26,0.254384256,0.0357962384174533,1.6870445,314.51317781833023,314.51270105901114
2023-10-24 20:57:28,0.254484407,0.0357944270100638,1.68695913,314.6358209121463,314.63529881208484
2023-10-24 20:57:30,0.254548962,0.0357899399733922,1.68674766,314.74050882886934,314.739941399342
2023-10-24 20:57:32,0.25463946,0.035788358996883,1.68667315,314.85093929923534,314.8503265515158
2023-10-24 20:57:34,0.2547194,0.0357868741393321,1.68660317,314.9491842537477,314.94852619910694
2023-10-24 20:57:36,0.254804468,0.0357844482495952,1.68648884,315.06027491521024,315.0595715649162
2023-10-24 20:57:38,0.254872944,0.0357856708487961,1.68654646,315.12517737146436,315.1244287367824
2023-10-24 20:57:40,0.254960124,0.0357832383813822,1.68643182,315.23863096944655,315.23783706163914
2023-10-24 20:57:42,0.255034634,0.0357825473009244,1.68639925,315.32488173945126,315.32404256977804
2023-10-24 20:57:44,0.255098284,0.0357797948613489,1.68626953,315.4153016172941,315.414417197012
2023-10-24 20:57:46,0.255154694,0.0357784506812139,1.68620618,315.4869771329746,315.48604747333763
2023-10-24 20:57:48,0.255223171,0.0357774457819054,1.68615882,315.5691305326413,315.5681556449008
2023-10-24 20:57:50,0.255276263,0.0357757432244621,1.68607858,315.63999315074784,315.6389730461523
2023-10-24 20:57:52,0.255328752,0.0357755257367528,1.68606833,315.6987027457072,315.69763743550226
2023-10-24 20:57:54,0.25538848,0.0357740854376595,1.68600045,315.7747492010054,315.773638696434
2023-10-24 20:57:56,0.25545394,0.0357730357677104,1.68595098,315.8539976634276,315.85284197572975
2023-10-24 20:57:58,0.255506127,0.0357718645168271,1.68589578,315.91978430658503,315.918583446998
2023-10-24 20:58:00,0.255559521,0.035770008338797,1.6858083,315.9921999626134,315.9909539423718
2023-10-24 20:58:02,0.255587274,0.0357707250934136,1.68584208,316.0168187935692,316.01552762390463
2023-10-24 20:58:04,0.255654544,0.0357689904963175,1.68576033,316.10336723423137,316.1020309263728
2023-10-24 20:58:05,0.255698586,0.0357675440439134,1.68569216,316.1624422820307,316.1610834092851
2023-10-24 20:58:07,0.255751075,0.0357663087137246,1.68563394,316.2290792886787,316.2276752945772
2023-10-24 20:58:09,0.255794815,0.0357657005968711,1.68560528,316.2813485017109,316.27989939747545
2023-10-24 20:58:11,0.255837953,0.0357653292763918,1.68558778,316.3311267164298,316.32963251327953
2023-10-24 20:58:13,0.255880788,0.0357631467607062,1.68548492,316.39465149772934,316.3931122068806
2023-10-24 20:58:15,0.255904619,0.0357619177960113,1.685427,316.43013146720637,316.4285470998727
2023-10-24 20:58:17,0.255970381,0.0357608167777445,1.68537511,316.5101652879611,316.50853585535333
2023-10-24 20:58:19,0.256015328,0.0357600934454509,1.68534102,316.5646577485011,316.5629832618271
2023-10-24 20:58:21,0.256053941,0.0357606504261698,1.68536727,316.6023141960773,316.6005946665424
2023-10-24 20:58:23,0.256088028,0.0357593446511815,1.68530573,316.6495439283227,316.6477793671292
2023-10-24 20:58:25,0.256112463,0.0357561251965346,1.685154,316.70118296950193,316.6993733878495
2023-10-24 20:58:27,0.256170381,0.0357581156864866,1.68524781,316.74865869895837,316.7468041080438
2023-10-24 20:58:29,0.256214423,0.0357587301688341,1.68527677,316.79176621058735,316.7898666216048
2023-10-24 20:58:31,0.256248511,0.0357568932994689,1.6851902,316.84314336587414,316.8411987900148
2023-10-24 20:58:33,0.256268722,0.0357562788171214,1.68516124,316.86993066445825,316.8679411129106
2023-10-24 20:58:35,0.256318194,0.0357548962318397,1.68509608,316.9344927779435,316.93245826189326
2023-10-24 20:58:37,0.256358617,0.0357550305437617,1.68510241,316.97741126988774,316.97533180051784
2023-10-24 20:58:39,0.256395419,0.035754057684106,1.68505656,317.02502209355885,317.0228976820494
2023-10-24 20:58:41,0.256419854,0.0357518749562372,1.68495369,317.0686269561488,317.0664576136772
2023-10-24 20:58:43,0.256465102,0.0357525407869023,1.68498507,317.11264976972126,317.11043550746206
2023-10-24 20:58:45,0.256493157,0.0357518878994082,1.6849543,317.1482695321645,317.1460103612894
